name,id
Tim Robbins,1
Marlon Brando,2
Christian Bale,3
Al Pacino,4
Henry Fonda,5
Elijah Wood,6
John Travolta,7
Liam Neeson,8
Leonardo DiCaprio,9
Brad Pitt,10
Tom Hanks,12
Clint Eastwood,13
Lilly Wachowski,15
Robert De Niro,16
Mark Hamill,17
Jack Nicholson,18
Lin-Manuel Miranda,19
Kang-ho Song,20
Suriya,21
Matthew McConaughey,22
Kátia Lund,23
Daveigh Chase,24
Roberto Benigni,27
Morgan Freeman,28
Jodie Foster,29
Tatsuya Nakadai,31
Toshirô Mifune,32
James Stewart,33
Joaquin Phoenix,34
Miles Teller,35
Éric Toledano,36
Adrien Brody,39
Russell Crowe,40
Edward Norton,41
Kevin Spacey,42
Jean Reno,43
Rob Minkoff,44
Arnold Schwarzenegger,45
Philippe Noiret,46
Tsutomu Tatsumi,47
Michael J. Fox,48
Anthony Perkins,50
Humphrey Bogart,51
Charles Chaplin,52
Zain Al Rafeea,54
Erdem Can,55
Pushkar,56
Ryûnosuke Kamiki,57
Aamir Khan,58
Peter Ramsey,59
Joe Russo,60
Adrian Molina,62
Jamie Foxx,63
Amole Gupte,66
Ben Burtt,67
Ulrich Mühe,68
Choi Min-sik,69
Guy Pearce,70
Yôji Matsuda,71
Harrison Ford,73
Martin Sheen,75
Sigourney Weaver,76
Rajesh Khanna,77
Peter Sellers,79
Tyrone Power,80
Kirk Douglas,81
William Holden,83
Dean-Charles Chapman,85
Anand Gandhi,86
Ayushmann Khurrana,87
Mohanlal,88
Mads Mikkelsen,89
Payman Maadi,90
Lubna Azabal,91
Aras Bulut Iynemli,92
Çetin Tekindor,93
Jim Carrey,95
Audrey Tautou,96
Jason Statham,97
Ellen Burstyn,98
Robin Williams,100
Mohammad Amir Naji,101
Mel Gibson,103
Harvey Keitel,104
Matthew Modine,105
Aleksey Kravchenko,106
F. Murray Abraham,108
Jürgen Prochnow,111
Paul Newman,113
Malcolm McDowell,114
Keir Dullea,115
Peter O'Toole,117
Jack Lemmon,118
Cary Grant,119
Gene Kelly,121
Takashi Shimura,122
Lamberto Maggiorani,123
Fred MacMurray,124
Orson Welles,125
Peter Lorre,126
Brigitte Helm,127
Sushant Singh Rajput,129
Vicky Kaushal,130
Yash,131
Viggo Mortensen,132
Frances McDormand,133
Irrfan Khan,134
Prabhas,135
Carlos Martínez López,136
Ajay Devgn,137
Kangana Ranaut,138
Lembit Ulfsak,139
Farhan Akhtar,140
Manoj Bajpayee,141
Rajat Barmecha,142
Ricardo Darín,144
Tom Hardy,145
Bob Peterson,147
Shah Rukh Khan,149
Daniel Day-Lewis,150
Ivana Baquero,151
Hugo Weaving,153
Amitabh Bachchan,155
Bruno Ganz,158
Chieko Baishô,159
Akshay Kumar,161
Jason Flemyng,162
Sener Sen,164
Davor Dujmovic,170
Hitoshi Takagi,171
Bruce Willis,172
Alisa Freyndlikh,175
Ingrid Bergman,176
Anthony Quinn,177
Sanjeev Kumar,178
Terry Jones,179
Steve McQueen,180
Gregory Peck,181
Spencer Tracy,183
Marilyn Monroe,184
Victor Sjöström,185
Max von Sydow,186
Jean Servais,187
Ray Milland,188
Chishû Ryû,189
Bette Davis,191
Carole Lombard,193
Buster Keaton,195
Noémie Merlant,196
Taapsee Pannu,197
Miyu Irino,198
Mario Casas,199
Kim Min-hee,200
Anne Dorval,201
Shahid Kapoor,202
Hugh Jackman,203
Brie Larson,204
Darío Grandinetti,205
Kemp Powers,206
Haluk Bilginer,207
Paresh Rawal,209
Ralph Fiennes,210
Ben Affleck,211
Aoi Miyazaki,212
Andrew Garfield,213
Ronnie Del Carmen,214
Ranbir Kapoor,215
Chiwetel Ejiofor,216
Daniel Brühl,217
Matt Damon,218
Mark Ruffalo,219
David Rawle,220
Vidya Balan,221
Hrithik Roshan,222
Anupam Kher,225
Daniel Radcliffe,227
Masahiro Motoki,228
Richard Gere,229
Toni Collette,230
Chris Sanders,231
Emile Hirsch,232
Joel Coen,233
Sanjay Dutt,234
Hilary Swank,235
Don Cheadle,236
Jang Dong-Gun,237
Ethan Hawke,238
Uma Thurman,242
Lee Unkrich,243
Emilio Echevarría,245
David Silverman,246
Kazuya Tsurumaki,247
Tim Roth,250
Bajram Severdzan,252
Ethan Coen,253
Tony Chiu-Wai Leung,254
Ewan McGregor,255
Predrag 'Miki' Manojlovic,257
Vincent Cassel,258
Irène Jacob,261
Brigitte Lin,262
Sam Neill,263
Leslie Cheung,265
Gong Li,266
Wil Wheaton,268
Charlie Sheen,269
Harry Dean Stanton,270
Sumi Shimamoto,271
Kurt Russell,272
Bob Geldof,273
Klaus Kinski,274
Bertil Guve,275
Anthony Hopkins,277
Graham Chapman,278
Sylvester Stallone,280
Faye Dunaway,281
Ryan O'Neal,282
Margarita Terekhova,283
Harriet Andersson,286
Natalya Bondarchuk,287
Alain Delon,288
Bibi Andersson,290
Anatoliy Solonitsyn,291
Brahim Hadjadj,292
Silvia Pinal,293
Eduard Abalov,297
Jean-Pierre Léaud,300
Charlton Heston,301
Giulietta Masina,303
Yves Montand,307
James Cagney,309
Emeric Pressburger,311
Margaret Sullavan,312
Laurence Olivier,313
George Cukor,315
Jean Gabin,316
Clark Gable,317
Maria Falconetti,318
George O'Brien,320
Werner Krauss,322
Willem Dafoe,324
Salman Khan,326
Ryan Gosling,328
Dev Patel,329
Rich Moore,331
Chloë Grace Moretz,333
Jacob Tremblay,334
Vijay Varma,335
Iko Uwais,338
Benedict Cumberbatch,339
Chris Pratt,340
Rami Malek,343
Logan Lerman,345
Wagner Moura,346
Colin Firth,347
Emma Stone,348
Ryan Reynolds,349
Golshifteh Farahani,350
Abhay Deol,351
Donnie Yen,352
Loveleen Tandan,355
Natalie Portman,356
Robert Downey Jr.,358
Marjane Satrapi,359
Will Smith,361
Seung-Yun Lee,364
Quentin Tarantino,365
Laura Obiols,366
Cem Yilmaz,367
Jan Pinkava,368
Daniel Craig,369
Vladimir Garin,371
Ki-duk Kim,372
Javier Bardem,373
Preity Zinta,375
Alan Mak,376
Johnny Depp,377
Craig T. Nelson,379
Tae-Hyun Cha,380
Nicole Kidman,381
Ömer Faruk Sorak,382
Jake Gyllenhaal,383
Tom Cruise,384
Björk,385
Richard Farnsworth,386
Junko Iwao,387
Ulrich Thomsen,388
Fernanda Montenegro,389
Eli Marienthal,390
Til Schweiger,391
Billy Bob Thornton,392
Timothy Spall,393
Atsuko Tanaka,395
Danny Elfman,396
Bill Murray,397
Damian Chapa,398
John Musker,400
Kevin Costner,401
Kirk Wise,402
Danny Aiello,404
Dustin Hoffman,405
Mitsuo Iwata,406
Cary Elwes,407
Gaspard Manesse,409
Mayumi Tanaka,410
Ben Kingsley,412
Woody Allen,415
Roy Scheider,416
Gene Wilder,418
Timothy Bottoms,422
Topol,423
Jean-Louis Trintignant,424
Mia Farrow,426
Elizabeth Taylor,429
Julie Andrews,430
Omar Sharif,431
Marcello Mastroianni,433
Anna Karina,434
John Wayne,437
Burt Lancaster,441
Sterling Hayden,442
Robert Mitchum,443
Simone Signoret,445
Vivien Leigh,448
Dennis Price,450
Celia Johnson,453
Gene Tierney,454
Myrna Loy,455
Marcel Dalio,460
William Powell,461
Lew Ayres,462
Aleksandr Antonov,463
Lily Franky,466
Adam Driver,467
Armie Hammer,468
Bryan Cranston,470
Ferdia Walsh-Peelo,473
Chris Hemsworth,474
Roman Griffin Davis,476
Amy Adams,477
Daisy Ridley,478
Patrick Stewart,480
Muhammet Uzuner,481
Jean Dujardin,482
Tahar Rahim,486
Sam Rockwell,487
Kåre Hedebrant,488
Sharlto Copley,489
Mickey Rourke,490
Ellar Coltrane,492
Anamaria Marinca,493
Chris Pine,494
Colin Farrell,495
David Lee Smith,496
Ken Watanabe,497
Lee Pace,498
Suraj Sharma,499
George Clooney,500
Michel Côté,501
Gérard Jugnot,502
Simon Pegg,504
Birol Ünel,505
Sean Penn,506
Jet Li,508
Rosario Flores,509
Branko Djuric,510
Tensai Okamura,511
