name,id
Frank Darabont,1
Francis Ford Coppola,2
Christopher Nolan,3
Sidney Lumet,5
Peter Jackson,6
Quentin Tarantino,7
Steven Spielberg,8
David Fincher,10
Robert Zemeckis,12
Sergio Leone,13
Lana Wachowski,15
Martin Scorsese,16
Irvin Kershner,17
Milos Forman,18
Thomas Kail,19
Bong Joon Ho,20
Sudha Kongara,21
Fernando Meirelles,23
Hayao Miyazaki,24
Roberto Benigni,27
Jonathan Demme,29
George Lucas,30
Masaki Kobayashi,31
Akira Kurosawa,32
Frank Capra,33
Todd Phillips,34
Damien Chazelle,35
Olivier Nakache,36
Roman Polanski,39
Ridley Scott,40
Tony Kaye,41
Bryan Singer,42
Luc Besson,43
Roger Allers,44
James Cameron,45
Giuseppe Tornatore,46
Isao Takahata,47
Alfred Hitchcock,50
Michael Curtiz,51
Charles Chaplin,52
Nadine Labaki,54
Can Ulkay,55
Gayatri,56
Makoto Shinkai,57
Nitesh Tiwari,58
Bob Persichetti,59
Anthony Russo,60
Lee Unkrich,62
Rajkumar Hirani,65
Aamir Khan,66
Andrew Stanton,67
Florian Henckel von Donnersmarck,68
Chan-wook Park,69
Stanley Kubrick,74
Hrishikesh Mukherjee,77
Billy Wilder,80
Sam Mendes,85
Rahi Anil Barve,86
Sriram Raghavan,87
Jeethu Joseph,88
Thomas Vinterberg,89
Asghar Farhadi,90
Denis Villeneuve,91
Mehmet Ada Öztekin,92
Çagan Irmak,93
Michel Gondry,95
Jean-Pierre Jeunet,96
Guy Ritchie,97
Darren Aronofsky,98
Gus Van Sant,100
Majid Majidi,101
John Lasseter,102
Mel Gibson,103
Elem Klimov,106
Brian De Palma,109
Richard Marquand,110
Wolfgang Petersen,111
George Roy Hill,113
David Lean,117
Stanley Donen,121
Vittorio De Sica,123
Orson Welles,125
Fritz Lang,126
Aditya Dhar,130
Prashanth Neel,131
Peter Farrelly,132
Martin McDonagh,133
Meghna Gulzar,134
S.S. Rajamouli,135
Sergio Pablos,136
Nishikant Kamat,137
Vikas Bahl,138
Zaza Urushadze,139
Rakeysh Omprakash Mehra,140
Anurag Kashyap,141
Vikramaditya Motwane,142
Tigmanshu Dhulia,143
Juan José Campanella,144
Gavin O'Connor,145
Pete Docter,147
Shimit Amin,149
Paul Thomas Anderson,150
Guillermo del Toro,151
James McTeigue,153
Sanjay Leela Bhansali,155
Ashutosh Gowariker,157
Oliver Hirschbiegel,158
Ron Howard,160
Priyadarshan,161
Curtis Hanson,163
Yavuz Turgul,164
Michael Mann,165
Rajkumar Santoshi,167
Clint Eastwood,168
Emir Kusturica,170
John McTiernan,172
Andrei Tarkovsky,175
Ingmar Bergman,176
Moustapha Akkad,177
Ramesh Sippy,178
Terry Gilliam,179
John Sturges,180
Robert Mulligan,181
Stanley Kramer,183
Jules Dassin,187
Yasujirô Ozu,189
Joseph L. Mankiewicz,191
John Huston,192
Ernst Lubitsch,193
Buster Keaton,195
Céline Sciamma,196
Aniruddha Roy Chowdhury,197
Naoko Yamada,198
Oriol Paulo,199
Xavier Dolan,201
Vishal Bhardwaj,202
James Mangold,203
Lenny Abrahamson,204
Damián Szifron,205
Nuri Bilge Ceylan,207
Umesh Shukla,209
Wes Anderson,210
Mamoru Hosoda,212
Anurag Basu,215
Steve McQueen,216
Tom McCarthy,219
Tomm Moore,220
Sujoy Ghosh,221
Zoya Akhtar,222
George Miller,224
Neeraj Pandey,225
David Yates,227
Yôjirô Takita,228
Lasse Hallström,229
Adam Elliot,230
Dean DeBlois,231
Sean Penn,232
Ethan Coen,233
Terry George,236
Je-kyu Kang,237
Richard Linklater,238
Farhan Akhtar,241
Alejandro G. Iñárritu,245
Hideaki Anno,247
M. Night Shyamalan,249
Peter Weir,251
Joel Coen,253
Kar-Wai Wong,254
Danny Boyle,255
Mathieu Kassovitz,258
Aditya Chopra,259
Krzysztof Kieslowski,261
Jim Sheridan,264
Kaige Chen,265
Yimou Zhang,266
Rob Reiner,268
Oliver Stone,269
Wim Wenders,270
